item_name,clean,label_ground,ml_label_v3,ml_conf_v3
Ikura Salmon Roll,ikura salmon roll,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.887
Toro King Salmon Sashimi,toro king salmon sashimi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.899
King Salmon Sashimi,king salmon sashimi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.937
Mentai Salmon Roll,mentai salmon roll,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.913
Cá Mú,cá mú,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Chả Mực Trứng Cá Chuồn,chả mực trứng cá chuồn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.967
Chả Tôm Trứng Cá Chuồn,chả tôm trứng cá chuồn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.925
Cá Điêu Hồng Làm Sạch,cá điêu hồng làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Roll Cá Hồi Cuộn Bơ,roll cá hồi cuộn bơ,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.956
Cá Hộp Ba Cô Gái Nắp Giựt 155G (Vat 8%),cá hộp ba cô gái nắp giựt vat 8,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.898
Cá Lóc Làm Sạch,cá lóc làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Cá Nục Làm Sạch,cá nục làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Ca Loc Phi Le,ca loc phi le,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.933
Cá Sòng Làm Sạch,cá sòng làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.934
Ca Ngu Tam Uop Kg,ca ngu tam uop kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.908
Ca Basa Cat Khuc Kg,ca basa cat khuc kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.973
Chả Cá Cốm,chả cá cốm,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.973
Đầu Cá Hồi Salar Làm Sạch (Kg),đầu cá hồi salar làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Sake / Tuna Menataiko Shio Maki / Cuộn Cá Hồi Hoặc Cá Ngừ Sốt Trứng Nướng,sake / tuna menataiko shio maki / cuộn cá hồi hoặc cá ngừ sốt trứng nướng,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.969
Cá Hộp Ba Cô Gái Nắp Giựt 155G,cá hộp ba cô gái nắp giựt,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.919
Cá Nục Sốt Cà Lilly 155G,cá nục sốt cà lilly,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.976
Xiên Chả Cá Hàn,xiên chả cá hàn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.969
Cá Trích Sea Crown S,cá trích sea crown s,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.946
Cá Nục Làm Sạch,cá nục làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Cá Chim Nước Ngọt Làm Sạch,cá chim nước ngọt làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Salad Cá Hồi Xốt Chanh Dây,salad cá hồi xốt chanh dây,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.954
Xiên Chả Cá Hàn Quốc (Phần 2 Xiên),xiên chả cá hàn quốc phần 2 xiên,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.89
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Tuna,tuna,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Cá Phile,cá phile,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.992
Vây Cá Hồi,vây cá hồi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.978
Cá Trứng Chiên Bột,cá trứng chiên bột,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.913
Chả Cá Oden Hàn Quốc,chả cá oden hàn quốc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.903
Chả Cá Trứng Muối,chả cá trứng muối,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Cá Trứng Chiên Giòn,cá trứng chiên giòn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Salad Cá Hồi Nướng Sốt Kabayaki Pc,salad cá hồi nướng sốt kabayaki pc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.98
Ca Basa Cat Khuc,ca basa cat khuc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Chả Cá Sun Ga - Ode,chả cá sun ga - ode,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.928
Ca Loc Xe,ca loc xe,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.958
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Tuna Bacon Salad,tuna bacon salad,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.943
Cá Bớp Sống,cá bớp sống,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.994
Sashimi Ca Hoi Na Uy - 5 Mieng,sashimi ca hoi na uy - 5 mieng,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.868
Sashimi Luon Ca Hoi Na Uy - 5 Mieng,sashimi luon ca hoi na uy - 5 mieng,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.856
Salad Ca Hoi,salad ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Cha Ca Basa Hap 500G Ta,cha ca basa hap ta,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.939
Cut-Fillet Ca Hoi,cut-fillet ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.939
King Salmon Sashimi,king salmon sashimi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.937
Grilled Salmon Roll,grilled salmon roll,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.909
Cá Trứng Chiên Giòn,cá trứng chiên giòn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Fl Gimbap Cá Ngừ Thanh Cua X Cái,fl gimbap cá ngừ thanh cua x cái,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.941
Cá Basa Phi Lê,cá basa phi lê,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.992
Cá Basa Cắt Khúc 500Gr,cá basa cắt khúc 500gr,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.967
G03-Cá Hồi Và Trứng Cá Hồi,g03-cá hồi và trứng cá hồi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.966
N05-Cá Hồi Sốt Cay,n05-cá hồi sốt cay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.95
Ca Hoi Nauy 5-6Kg/Con,ca hoi nauy 5- /con,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.922
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Sashimi Ca Hoi (5Pcs),sashimi ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
S1 - Sashimi Ca Hoi (5Pcs),s1 - sashimi ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.968
Cá Trứng Chiên Giòn,cá trứng chiên giòn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Cá Chim Nướng Muối Ớt (Kg),cá chim nướng muối ớt kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Chả Cá Odeng 3 Xiên - Cay Ít,chả cá odeng 3 xiên - cay ít,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.93
Ca Basa Ncon Bo Dau Kg,ca basa ncon bo dau kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.912
Cá Lóc Làm Sạch,cá lóc làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Cá Nục Làm Sạch,cá nục làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Cá Chim Nước Ngọt Làm Sạch,cá chim nước ngọt làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Cá Mò,cá mò,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.878
Đầu Cá Hồi Salar Làm Sạch (Kg),đầu cá hồi salar làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Cá Ngừ Làm Sạch,cá ngừ làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Ca Loc Lam Sach,ca loc lam sach,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.954
Ca Basa Cat Khuc,ca basa cat khuc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Cá Bống,cá bống,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.992
Cá Ngần Làm Sạch,cá ngần làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.933
Cá Cam Nhật Làm Sạch Size Nhỏ (Kg),cá cam nhật làm sạch size nhỏ kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.888
Đầu Cá Hồi Salar Làm Sạch (Kg),đầu cá hồi salar làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Cá Chim Trắng Nhập Khẩu,cá chim trắng nhập khẩu,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.953
Cá Ngần Làm Sạch,cá ngần làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.933
Cá Nục Làm Sạch,cá nục làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Cá Điêu Hồng Làm Sạch,cá điêu hồng làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Cá Cam Nhật Làm Sạch Size Nhỏ (Kg),cá cam nhật làm sạch size nhỏ kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.888
Cá Trác Làm Sạch,cá trác làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.912
Đầu Cá Hồi Salar Làm Sạch (Kg),đầu cá hồi salar làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Ca Loc Lam Sach,ca loc lam sach,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.954
Cá Chim - Sống (Kg),cá chim - sống kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Cá Trứng Chiên Bột,cá trứng chiên bột,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.913
Cá Ba Sa Fillet,cá ba sa fillet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.942
Niêu Trứng Cá Ngừ,niêu trứng cá ngừ,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Đầu Cá Hồi Salar Làm Sạch (Kg),đầu cá hồi salar làm sạch kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Cá Hồi Nauy Phi Lê 200G (Goi),cá hồi nauy phi lê goi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.961
Ca Basa Cat Khuc,ca basa cat khuc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Cá Chim - Sống (Kg),cá chim - sống kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Cá Lóc Làm Sạch,cá lóc làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Cá Chim Nước Ngọt Làm Sạch,cá chim nước ngọt làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
S1 - Sashimi Ca Hoi (5Pcs),s1 - sashimi ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.968
Tuna Salad Tropical Fruit Sauce,tuna salad tropical fruit sauce,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.853
Chả Cá,chả cá,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.994
Cá Sòng Làm Sạch,cá sòng làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.934
Ca Basa Cat Khuc,ca basa cat khuc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Cá Tuyết Nướng Với Cơm Phần,cá tuyết nướng với cơm phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Cá Hồi (L),cá hồi l,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Cá Song (L),cá song l,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.958
Bao Tu Ca Basa,bao tu ca basa,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Sashimi Ca Hoi 135K,sashimi ca hoi 135k,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.937
Cá Rơ Phi Fillet,cá rơ phi fillet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.852
Gỏi Cá Trích,gỏi cá trích,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Packed Luon Ca Hoi,packed luon ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.893
Cá Ngân Làm Sạch,cá ngân làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.931
Cá Cam Nhật Làm Sạch Size Nhỏ (Kg),cá cam nhật làm sạch size nhỏ kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.888
Fish Value,fish value,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.88
T3. Đặt Hành Cá Hồi Mai Ho,t3 đặt hành cá hồi mai ho,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.94
Teri D Salmon,teri d salmon,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.94
Ca Loc Fillet Con Xuong,ca loc fillet con xuong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.929
T3 Chả Cá Hấp,t3 chả cá hấp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.988
Chả Cá Hấp,chả cá hấp,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Xương Cá Hồi 4L Gbs 500G,xương cá hồi gbs,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.949
Ca Basa Cat Khuc,ca basa cat khuc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Ca Basa Ng Co Xay 623,ca basa ng co xay 623,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.902
Wms-Dau Ca Hoi,wms-dau ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.908
Ca Hoi Hap Ok Hong Kong,ca hoi hap ok hong kong,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.922
Sashimi Cá Hồi (Thân - 5 Miếng/Phần),sashimi cá hồi thân - /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.98
Sashimi Cá Hồi (Bụng - 5 Miếng/Phần),sashimi cá hồi bụng - /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Chả Cá Thêm Mì,chả cá thêm mì,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.924
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Ikura Salmon Roll,ikura salmon roll,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.887
King Salmon Sashimi,king salmon sashimi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.937
Salmon Head Teriyaki Or Shioyaki,salmon head teriyaki or shioyaki,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.878
Salad Ca Hoi,salad ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Sashimi Bung Ca Hoi,sashimi bung ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.907
Sashimi Ca Hoi,sashimi ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Ca Hoi Tuoi 650G,ca hoi tuoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.971
Cá Mú Trân Châu - Sống (Kg),cá mú trân châu - sống kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Chả Cá Hàn Soup,chả cá hàn soup,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.955
Chả Cá Hàn Sốt Cay,chả cá hàn sốt cay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.987
Chả Cá Phô Mai,chả cá phô mai,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.963
Sashimi Ca Hoi (Than - 20 Mieng/Phan),sashimi ca hoi than - 20 mieng/phan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.914
Sashimi Ca Hoi Nauy 10M,sashimi ca hoi nauy 10m,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Cá Chim - Sống - (Kg),cá chim - sống - kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.997
Cá Hương Sữa (Size 50 - 80Con/Kg) - Sống (Kg),cá hương sữa size 50 - 80con/kg - sống kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.913
Luon Ca Hoi Salar,luon ca hoi salar,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Cá Hồi Na Uy (Phi Lê Thăn) (Kg),cá hồi na uy phi lê thăn kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.98
Sashimi Cá Hồi (Thăn - 20 Miếng/Phần),sashimi cá hồi thăn - /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.984
Cá Chim - Sống (Kg),cá chim - sống kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.998
Cá Chim - Sống,cá chim - sống,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Cá Ba Sa Fillet,cá ba sa fillet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.942
Cá Lóc Làm Sạch,cá lóc làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.996
Sashimi Ca Hoi (Thant- 10 Mieng/Phan),sashimi ca hoi thant- 10 mieng/phan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.912
Cá Hồi Coho Cắt Khúc (Kg),cá hồi coho cắt khúc kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.979
Cá Basa Cắt Khúc,cá basa cắt khúc,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.99
Cá Chim Trắng Làm Sạch,cá chim trắng làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.985
Cá Ba Sa Fillet,cá ba sa fillet,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.942
Vat08 Ca Ngu Kho Thom,vat08 ca ngu kho thom,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.905
Vato8 Ca Ngu Kho Thom,vato8 ca ngu kho thom,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.89
Ca Hoi Uc Fillet Dau/Duoi Wms,ca hoi uc fillet dau/duoi wms,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.904
Wms-Ca Hoi Uc Fillet Dau/Duoi,wms-ca hoi uc fillet dau/duoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.906
Cá Ngừ Cắt Khúc Ngâm Dầu Thực Vật 140G,cá ngừ cắt khúc ngâm dầu thực vật,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.869
Salmon Oyako Spicy Roll - M,salmon oyako spicy roll - m,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.896
Salmon Head Shio (Half),salmon head shio half,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.941
Ca Loc Lam Sach,ca loc lam sach,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.954
Cá Mú Trân Châu - Sống (Kg) Chế Biến - Hấp Hồng Kông (Kg) (0),cá mú trân châu - sống kg chế biến - hấp hồng kông kg 0,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.949
Temaki Onigiri Ca Hoi Sot Mayo Jbf 93G,temaki onigiri ca hoi sot mayo jbf,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.878
Sashimi Ca Hoi (Than - 15 Mieng/Phan),sashimi ca hoi than - 15 mieng/phan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.902
Sashimi Cá Hồi (Bụng - 5 Miếng/Phần),sashimi cá hồi bụng - /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Sashimi Cá Hồi (Bụng - 10 Miếng/Phần),sashimi cá hồi bụng - /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Sashimi Cá Trích Ép Trứng (5 Miếng/Phần),sashimi cá trích ép trứng /phần,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.989
Sashimi Fillet Ca Hoi,sashimi fillet ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.982
Salmon Teriyaki,salmon teriyaki,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.917
Aupashii Sake Gunkan (Cuon Ca Hoi Sot Cay 2Pcs),aupashii sake gunkan cuon ca hoi sot cay,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.865
Salad Cá Ngừ - Maguro Salad,salad cá ngừ - maguro salad,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.948
Ca Hoi Vien+3,ca hoi vien+3,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.953
Cá Nhân,cá nhân,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.869
Salad Ca Ngu - Maguro Salad,salad ca ngu - maguro salad,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.874
Ca Ho Nauy Dut Lo/ Grilled Salmon (Phan),ca ho nauy dut lo/ grilled salmon phan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.889
Wms-Ca Hoi Uc Fillet Khuc Giua 2657162001628,wms-ca hoi uc fillet khuc giua 2657162001628,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.86
Crispy Salmon Skin,crispy salmon skin,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.858
Wms-Luon Ca Hoi,wms-luon ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.938
Wms-Xuong Ca Hoi,wms-xuong ca hoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.913
Cá Dĩa Làm Sạch,cá dĩa làm sạch,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.941
Chả Cá Thĩ Lá (Kg),chả cá thĩ lá kg,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.978
Ca Hoi Fillet Tui,ca hoi fillet tui,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.968
Hoa Doanh - Cá Viên 200G (Gói),hoa doanh - cá viên gói,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.981
Cá Kho Tộ,cá kho tộ,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.874
Da Ca Hoi Gion Vi Pho Mai,da ca hoi gion vi pho mai,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.89
Cá Hồi Giòn Vị Phô Mai,cá hồi giòn vị phô mai,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.928
Salad Ca Ngu Sot Mayo,salad ca ngu sot mayo,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.962
Chả Cá Chiên,chả cá chiên,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.95
Chả Mực Trứng Cá Chuồn,chả mực trứng cá chuồn,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.967
Mực Ống,mực ống,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.935
Râu Mực Nhập Khẩu,râu mực nhập khẩu,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.893
Muc Bach Hoa Hanh Nhan,muc bach hoa hanh nhan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.88
Thit Muc Dong Thabifood 500G,thit muc dong thabifood,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.88
Rau Muc Nhap Khau,rau muc nhap khau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Mực,mực,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Rau Muc Nhap Khau,rau muc nhap khau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Rau Muc Nhap Khau,rau muc nhap khau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Muc Xoan,muc xoan,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.901
Rau Muc Nhap Khau,rau muc nhap khau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Rau Muc Nhap Khau,rau muc nhap khau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.894
Râu Mực Nhập Khẩu,râu mực nhập khẩu,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.893
Nộm Mực,nộm mực,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.898
Đặc Sản Chả Mực,đặc sản chả mực,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.882
Muc Ong Trung Lo (Si) Lam Sach,muc ong trung lo si lam sach,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.914
Mực Hấp Gừng,mực hấp gừng,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.927
Mực,mực,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.991
Răng Mực,răng mực,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.937
"Mực ""Đại Ca"" Hấp/Sốt",mực đại ca hấp/sốt,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.885
Răng Mực Sốt Trứng Muối,răng mực sốt trứng muối,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.92
Mực Chiên Bột,mực chiên bột,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.869
Muc Them Lau,muc them lau,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.88
Rang Muc Sot Trung Muoi,rang muc sot trung muoi,Thịt - Hải sản - Trứng,Thịt - Hải sản - Trứng,0.91
